transaction_id,user_id,timestamp,amount_usd,merchant_category,merchant_id,device_type,location,is_foreign,is_night,prior_fraud_flag,velocity_score,payment_method,transaction_channel,fraud_flag
TXN100047,USR5367,2023-01-01 00:47:00,36.71,electronics,M0109,iPhone,Charlesberg,0,1,0,0.65,Peer-to-Peer,NFC,0
TXN100048,USR8457,2023-01-01 00:48:00,39.56,groceries,M0179,iPad,New Alexis,0,0,0,0.44,Apple Pay,web,0
TXN100049,USR2981,2023-01-01 00:49:00,10.22,luxury,M0111,Mac,Jamieview,1,1,0,0.61,Subscription,web,0
TXN100050,USR4880,2023-01-01 00:50:00,174.64,travel,M0160,iPad,Robertport,0,1,0,0.56,Subscription,web,0
TXN100051,USR6887,2023-01-01 00:51:00,74.61,travel,M0166,Watch,West Manuelborough,0,0,0,0.64,Wallet Transfer,in-app,0
TXN100052,USR9846,2023-01-01 00:52:00,140.25,gaming,M0184,Watch,Port Marytown,0,0,0,0.46,Apple Pay,NFC,0
TXN100053,USR2073,2023-01-01 00:53:00,112.61,electronics,M0197,iPhone,Juliaborough,0,0,0,0.36,Subscription,in-app,0
TXN100054,USR3845,2023-01-01 00:54:00,45.55,luxury,M0017,Mac,North Steven,0,0,0,0.07,Peer-to-Peer,QR scan,0
TXN100055,USR9494,2023-01-01 00:55:00,127.47,utilities,M0086,Mac,West Stacyland,0,1,0,0.43,Peer-to-Peer,web,0
TXN100056,USR6580,2023-01-01 00:56:00,4.63,gaming,M0039,iPad,Mallorymouth,1,0,0,0.53,Wallet Transfer,QR scan,0
TXN100057,USR7900,2023-01-01 00:57:00,10.91,utilities,M0041,Watch,Port Alyssaton,0,1,0,0.3,Apple Pay,NFC,0
TXN100058,USR1751,2023-01-01 00:58:00,2.31,gaming,M0048,Mac,New Catherine,0,0,0,0.48,Apple Pay,in-app,0
TXN100059,USR6813,2023-01-01 00:59:00,19.68,electronics,M0156,iPhone,Lake Kenneth,0,0,0,0.72,Subscription,in-app,0
TXN100060,USR3080,2023-01-01 01:00:00,24.61,luxury,M0077,iPhone,West Timothyview,0,0,0,0.52,Wallet Transfer,NFC,0
TXN100061,USR5625,2023-01-01 01:01:00,15.83,electronics,M0178,Mac,Lake Kimberly,0,1,0,0.35,Peer-to-Peer,NFC,0
TXN100062,USR7179,2023-01-01 01:02:00,88.23,travel,M0001,iPhone,South Ericmouth,0,0,0,0.68,Subscription,in-app,0
TXN100063,USR1006,2023-01-01 01:03:00,22.06,utilities,M0117,Mac,Rivasburgh,0,1,0,0.54,Peer-to-Peer,QR scan,0
TXN100064,USR7573,2023-01-01 01:04:00,16.49,groceries,M0178,Mac,New Jonshire,0,0,0,0.54,Apple Pay,NFC,0
TXN100065,USR6847,2023-01-01 01:05:00,39.12,travel,M0019,Mac,Laurentown,0,0,0,0.41,Wallet Transfer,web,0
TXN100066,USR5650,2023-01-01 01:06:00,7.59,travel,M0059,Mac,Jasonside,1,0,0,0.25,Apple Pay,QR scan,0
TXN100067,USR4632,2023-01-01 01:07:00,81.02,utilities,M0196,iPad,New Marissa,0,1,0,0.55,Peer-to-Peer,in-app,0
TXN100068,USR4363,2023-01-01 01:08:00,3.87,gaming,M0107,Mac,New Richard,0,0,0,0.57,Peer-to-Peer,NFC,0
TXN100069,USR6898,2023-01-01 01:09:00,216.71,travel,M0195,iPhone,Lake Michaelberg,0,0,0,0.36,Apple Pay,NFC,0
TXN100070,USR1468,2023-01-01 01:10:00,73.97,luxury,M0169,Watch,Daisyland,0,0,0,0.53,Peer-to-Peer,QR scan,0
TXN100071,USR1134,2023-01-01 01:11:00,11.08,travel,M0138,iPad,East Monica,0,0,0,0.69,Subscription,NFC,0
TXN100072,USR8534,2023-01-01 01:12:00,0.28,luxury,M0028,Watch,Farmerborough,0,0,0,0.3,Subscription,web,0
TXN100073,USR5865,2023-01-01 01:13:00,84.49,electronics,M0034,Watch,New Jonathan,0,1,0,0.58,Peer-to-Peer,in-app,0
TXN100074,USR1711,2023-01-01 01:14:00,61.35,gaming,M0039,Watch,Wisefurt,0,0,0,0.48,Subscription,QR scan,0
TXN100075,USR1065,2023-01-01 01:15:00,65.28,luxury,M0126,Watch,North Taylor,0,1,0,0.69,Subscription,QR scan,0
TXN100076,USR7251,2023-01-01 01:16:00,73.76,travel,M0083,Watch,Brianstad,0,0,0,0.72,Subscription,web,0
TXN100077,USR8920,2023-01-01 01:17:00,3.85,gaming,M0106,iPhone,East Brandonberg,0,0,0,0.51,Subscription,NFC,0
TXN100078,USR9301,2023-01-01 01:18:00,22.19,gaming,M0184,Mac,Jamieland,0,0,0,0.5,Wallet Transfer,QR scan,0
TXN100079,USR1177,2023-01-01 01:19:00,6.16,luxury,M0180,iPhone,East David,0,0,0,0.46,Wallet Transfer,in-app,0
TXN100080,USR9498,2023-01-01 01:20:00,99.43,luxury,M0110,iPad,South Laurenfurt,0,1,0,0.29,Wallet Transfer,NFC,0
TXN100081,USR4128,2023-01-01 01:21:00,48.82,groceries,M0121,iPhone,Burnshaven,0,1,0,0.58,Peer-to-Peer,QR scan,0
TXN100082,USR5757,2023-01-01 01:22:00,20.09,groceries,M0107,iPad,Davisburgh,0,0,0,0.51,Subscription,QR scan,0
TXN100083,USR3308,2023-01-01 01:23:00,3.28,gaming,M0131,Mac,South Gwendolyn,0,1,0,0.35,Wallet Transfer,in-app,0
TXN100084,USR4807,2023-01-01 01:24:00,18.62,utilities,M0023,Watch,North Nicole,0,0,0,0.11,Apple Pay,QR scan,0
TXN100085,USR5883,2023-01-01 01:25:00,19.67,utilities,M0145,Mac,Lake Jared,0,1,0,0.61,Subscription,NFC,0
TXN100086,USR8992,2023-01-01 01:26:00,65.39,groceries,M0071,iPhone,Hudsonbury,0,0,0,0.43,Peer-to-Peer,web,0
TXN100087,USR7012,2023-01-01 01:27:00,50.74,travel,M0154,iPhone,Lewismouth,0,0,0,0.64,Subscription,QR scan,0
TXN100088,USR4256,2023-01-01 01:28:00,109.11,electronics,M0107,Mac,Watsonmouth,0,0,0,0.23,Apple Pay,web,0
TXN100089,USR3346,2023-01-01 01:29:00,31.95,gaming,M0146,Mac,Loriport,0,0,0,0.51,Peer-to-Peer,in-app,0
TXN100090,USR8656,2023-01-01 01:30:00,6.37,electronics,M0046,iPhone,Port Timothy,0,1,1,0.49,Apple Pay,web,0
TXN100091,USR4967,2023-01-01 01:31:00,62.46,groceries,M0070,Mac,Sharonstad,0,0,0,0.46,Wallet Transfer,QR scan,0
TXN100092,USR7905,2023-01-01 01:32:00,71.52,luxury,M0031,iPad,Lake Thomasfort,0,0,0,0.82,Subscription,in-app,0
TXN100093,USR8143,2023-01-01 01:33:00,41.19,gaming,M0093,iPad,Lake Josephburgh,1,0,0,0.53,Peer-to-Peer,NFC,0
TXN100094,USR1893,2023-01-01 01:34:00,73.69,groceries,M0137,iPhone,South Christopher,0,0,0,0.15,Peer-to-Peer,web,0
TXN100095,USR6933,2023-01-01 01:35:00,34.04,travel,M0118,iPhone,Port Bryan,0,0,0,0.42,Apple Pay,QR scan,0
TXN100096,USR3900,2023-01-01 01:36:00,36.98,gaming,M0163,Mac,East John,0,0,0,0.18,Peer-to-Peer,NFC,0
TXN100097,USR5612,2023-01-01 01:37:00,27.89,gaming,M0081,Mac,Amymouth,1,0,1,0.78,Apple Pay,web,0
TXN100098,USR8235,2023-01-01 01:38:00,1.29,utilities,M0060,Watch,New Jenniferberg,0,0,0,0.55,Wallet Transfer,NFC,0
TXN100099,USR6805,2023-01-01 01:39:00,5.71,luxury,M0076,iPad,Lake Victor,0,0,0,0.47,Apple Pay,QR scan,0
TXN100100,USR6442,2023-01-01 01:40:00,1.6,gaming,M0063,iPhone,Lake Karen,0,0,0,0.22,Apple Pay,QR scan,0
TXN100101,USR6972,2023-01-01 01:41:00,50.59,luxury,M0100,iPhone,New Deanna,1,1,0,0.53,Peer-to-Peer,web,0
TXN100102,USR6525,2023-01-01 01:42:00,18.87,groceries,M0180,iPhone,North William,1,1,0,0.71,Wallet Transfer,web,0
TXN100103,USR3061,2023-01-01 01:43:00,35.52,travel,M0048,iPhone,West Sarah,0,1,0,0.62,Wallet Transfer,QR scan,0
TXN100104,USR2707,2023-01-01 01:44:00,119.06,travel,M0189,Watch,Jamesville,0,1,0,0.61,Wallet Transfer,NFC,0
TXN100105,USR7775,2023-01-01 01:45:00,14.34,gaming,M0152,iPad,West Matthew,0,1,0,0.79,Wallet Transfer,web,0
TXN100106,USR1873,2023-01-01 01:46:00,26.41,gaming,M0074,Watch,Ricardoland,0,0,0,0.81,Peer-to-Peer,QR scan,0
TXN100107,USR1012,2023-01-01 01:47:00,70.44,groceries,M0058,iPad,Christopherborough,0,0,0,0.52,Peer-to-Peer,in-app,0
TXN100108,USR7089,2023-01-01 01:48:00,12.99,utilities,M0192,iPhone,Lake Margaret,1,1,0,0.62,Peer-to-Peer,NFC,0
TXN100109,USR7907,2023-01-01 01:49:00,4.01,utilities,M0030,iPad,North Williamton,0,0,0,0.84,Wallet Transfer,in-app,0
TXN100110,USR2082,2023-01-01 01:50:00,17.11,utilities,M0157,iPhone,Port Markland,0,0,0,0.3,Apple Pay,in-app,0
TXN100111,USR1965,2023-01-01 01:51:00,8.79,luxury,M0010,Watch,North Michelleberg,0,0,0,0.6,Wallet Transfer,NFC,0
TXN100112,USR5875,2023-01-01 01:52:00,132.75,utilities,M0039,iPad,Port Stevenfort,0,1,1,0.3,Wallet Transfer,in-app,0
TXN100113,USR2298,2023-01-01 01:53:00,82.54,travel,M0055,Mac,South Ashley,0,1,0,0.43,Wallet Transfer,in-app,0
TXN100114,USR2257,2023-01-01 01:54:00,50.17,luxury,M0028,iPad,Lake Jessicaview,0,0,0,0.77,Apple Pay,in-app,0
TXN100115,USR3555,2023-01-01 01:55:00,102.58,groceries,M0146,iPhone,Cochranport,0,1,0,0.33,Subscription,QR scan,0
TXN100116,USR9446,2023-01-01 01:56:00,81.4,travel,M0169,Mac,North Douglashaven,0,1,0,0.72,Apple Pay,in-app,0
TXN100117,USR3622,2023-01-01 01:57:00,10.32,travel,M0118,iPhone,Tranland,0,0,0,0.38,Subscription,in-app,0
TXN100118,USR3624,2023-01-01 01:58:00,111.54,electronics,M0114,Mac,Lake Johnborough,0,1,0,0.72,Peer-to-Peer,NFC,0
TXN100119,USR1123,2023-01-01 01:59:00,38.75,groceries,M0075,Mac,Jonathanmouth,1,1,0,0.79,Subscription,NFC,0
TXN100120,USR5909,2023-01-01 02:00:00,82.37,groceries,M0065,iPad,Lawrenceborough,0,0,0,0.32,Wallet Transfer,in-app,0
TXN100121,USR4876,2023-01-01 02:01:00,113.21,electronics,M0081,iPad,Flowersfurt,0,0,0,0.63,Wallet Transfer,in-app,0
TXN100122,USR3241,2023-01-01 02:02:00,19.14,luxury,M0100,Mac,West Denise,0,0,0,0.72,Subscription,in-app,0
TXN100123,USR1538,2023-01-01 02:03:00,5.83,utilities,M0100,Mac,Port Charles,0,0,0,0.41,Wallet Transfer,QR scan,0
TXN100124,USR6819,2023-01-01 02:04:00,12.93,utilities,M0046,Mac,Kaufmanside,0,1,0,0.61,Subscription,in-app,0
TXN100125,USR6828,2023-01-01 02:05:00,27.85,utilities,M0060,iPhone,Debbieborough,0,0,0,0.26,Wallet Transfer,NFC,0
TXN100126,USR6824,2023-01-01 02:06:00,85.19,utilities,M0137,iPad,West Kellyshire,0,0,0,0.94,Peer-to-Peer,NFC,0
TXN100127,USR1379,2023-01-01 02:07:00,98.57,utilities,M0173,iPhone,Christopherburgh,0,1,0,0.35,Apple Pay,in-app,0
TXN100128,USR5266,2023-01-01 02:08:00,0.35,electronics,M0188,iPad,Sandraborough,0,1,0,0.44,Peer-to-Peer,in-app,0
TXN100129,USR8098,2023-01-01 02:09:00,35.74,groceries,M0156,Watch,West Jimmyshire,0,0,0,0.47,Peer-to-Peer,NFC,0
TXN100130,USR6602,2023-01-01 02:10:00,27.01,luxury,M0097,iPhone,South Brandy,0,1,0,0.52,Subscription,in-app,0
TXN100131,USR7378,2023-01-01 02:11:00,12.56,travel,M0003,iPad,North Marissaville,0,0,0,0.59,Peer-to-Peer,in-app,0
TXN100132,USR7688,2023-01-01 02:12:00,6.38,utilities,M0179,Mac,Port Stephanie,0,0,0,0.59,Apple Pay,QR scan,0
TXN100133,USR1957,2023-01-01 02:13:00,20.6,electronics,M0136,Mac,South Caitlynland,0,1,0,0.28,Subscription,in-app,0
TXN100134,USR9215,2023-01-01 02:14:00,143.16,luxury,M0114,iPad,South Shawnborough,0,1,0,0.25,Peer-to-Peer,QR scan,0
TXN100135,USR7441,2023-01-01 02:15:00,19.52,luxury,M0198,Mac,New Keithville,0,1,1,0.84,Wallet Transfer,web,0
TXN100136,USR6417,2023-01-01 02:16:00,36.57,luxury,M0187,Mac,Michaelburgh,0,0,0,0.73,Peer-to-Peer,QR scan,0
TXN100137,USR4271,2023-01-01 02:17:00,60.7,electronics,M0116,Watch,Johnmouth,0,0,0,0.24,Subscription,in-app,0
TXN100138,USR3721,2023-01-01 02:18:00,22.6,travel,M0189,Watch,Port Deanna,0,1,0,0.58,Wallet Transfer,in-app,0
TXN100139,USR7378,2023-01-01 02:19:00,178.39,utilities,M0058,Watch,Gregoryview,0,0,0,0.66,Peer-to-Peer,NFC,0
TXN100140,USR3218,2023-01-01 02:20:00,164.1,luxury,M0070,iPhone,Clarkborough,0,0,0,0.91,Peer-to-Peer,in-app,0
TXN100141,USR9292,2023-01-01 02:21:00,14.5,electronics,M0093,Watch,Newtonstad,0,1,0,0.41,Wallet Transfer,in-app,0
TXN100142,USR3001,2023-01-01 02:22:00,34.38,groceries,M0140,Watch,Aaronshire,1,0,0,0.7,Wallet Transfer,in-app,0
TXN100143,USR3863,2023-01-01 02:23:00,17.9,electronics,M0137,Watch,North Beth,0,0,0,0.65,Wallet Transfer,QR scan,0
TXN100144,USR9351,2023-01-01 02:24:00,16.76,electronics,M0105,iPad,Port Wesleymouth,0,0,1,0.36,Wallet Transfer,QR scan,0
TXN100145,USR5539,2023-01-01 02:25:00,1.88,electronics,M0049,Mac,New Tylerburgh,0,1,0,0.43,Wallet Transfer,web,0
TXN100146,USR2439,2023-01-01 02:26:00,47.02,luxury,M0083,iPad,Grantberg,0,1,0,0.35,Apple Pay,QR scan,0
TXN100147,USR9131,2023-01-01 02:27:00,34.93,electronics,M0017,Watch,Brennanfurt,0,0,0,0.57,Apple Pay,NFC,0
TXN100148,USR1396,2023-01-01 02:28:00,2.64,groceries,M0054,iPhone,East Juliefort,0,0,0,0.19,Apple Pay,QR scan,0
TXN100149,USR2200,2023-01-01 02:29:00,16.33,luxury,M0112,iPad,Lake Amanda,0,0,0,0.46,Peer-to-Peer,in-app,0
TXN100150,USR3642,2023-01-01 02:30:00,119.44,groceries,M0172,Watch,Seanmouth,0,1,0,0.43,Apple Pay,QR scan,0
TXN100151,USR1467,2023-01-01 02:31:00,13.69,gaming,M0160,iPhone,Carrland,0,0,0,0.09,Wallet Transfer,in-app,0
TXN100152,USR2248,2023-01-01 02:32:00,7.83,electronics,M0163,iPhone,Smithfort,0,1,0,0.56,Apple Pay,NFC,0
TXN100153,USR5014,2023-01-01 02:33:00,33.61,utilities,M0049,iPhone,South Justin,0,0,0,0.64,Apple Pay,web,0
TXN100154,USR3093,2023-01-01 02:34:00,212.2,utilities,M0182,Mac,Cherylmouth,0,0,0,0.21,Peer-to-Peer,web,0
TXN100155,USR1735,2023-01-01 02:35:00,13.86,luxury,M0144,iPhone,New Manuel,0,1,0,0.5,Wallet Transfer,web,0
TXN100156,USR8105,2023-01-01 02:36:00,55.76,utilities,M0085,Watch,South Daniel,0,0,0,0.22,Peer-to-Peer,web,0
TXN100157,USR6070,2023-01-01 02:37:00,71.69,luxury,M0012,iPad,West Erikaview,0,1,0,0.52,Subscription,in-app,0
TXN100158,USR3246,2023-01-01 02:38:00,13.57,electronics,M0126,iPad,Gilbertport,0,0,0,0.73,Apple Pay,in-app,0
TXN100159,USR8050,2023-01-01 02:39:00,65.14,travel,M0098,Watch,New Thomas,0,0,0,0.4,Subscription,QR scan,0
TXN100160,USR6625,2023-01-01 02:40:00,22.93,travel,M0136,Mac,Crosbyview,0,0,0,0.44,Apple Pay,in-app,0
TXN100161,USR5422,2023-01-01 02:41:00,50.03,groceries,M0149,Mac,Shawnton,0,0,0,0.92,Subscription,web,0
TXN100162,USR5717,2023-01-01 02:42:00,50.19,electronics,M0048,iPhone,Lake Daniel,1,0,0,0.35,Peer-to-Peer,in-app,0
TXN100163,USR3262,2023-01-01 02:43:00,38.37,utilities,M0136,Watch,South Elizabethport,0,1,0,0.31,Subscription,NFC,0
TXN100164,USR9939,2023-01-01 02:44:00,4.73,electronics,M0028,iPhone,New Stevenchester,0,0,0,0.5,Peer-to-Peer,NFC,0
TXN100165,USR1091,2023-01-01 02:45:00,90.18,gaming,M0080,iPhone,Edgarhaven,0,1,0,0.98,Subscription,NFC,0
TXN100166,USR8981,2023-01-01 02:46:00,19.34,travel,M0010,Watch,Lancehaven,0,0,0,0.55,Wallet Transfer,web,0
TXN100167,USR2967,2023-01-01 02:47:00,10.32,utilities,M0052,Mac,West Briannabury,0,0,1,0.37,Apple Pay,QR scan,0
TXN100168,USR6845,2023-01-01 02:48:00,2.08,travel,M0143,Mac,Port Leslieville,0,0,0,0.62,Wallet Transfer,in-app,0
TXN100169,USR2591,2023-01-01 02:49:00,44.69,electronics,M0132,iPad,Kevinfurt,0,1,0,0.65,Apple Pay,QR scan,0
TXN100170,USR7980,2023-01-01 02:50:00,56.59,utilities,M0090,Watch,Allenside,0,0,0,0.62,Subscription,in-app,0
TXN100171,USR4634,2023-01-01 02:51:00,0.84,groceries,M0062,iPhone,Vasquezhaven,0,0,0,0.66,Apple Pay,web,0
TXN100172,USR7610,2023-01-01 02:52:00,35.88,electronics,M0107,Watch,Katherineshire,0,0,0,0.69,Peer-to-Peer,NFC,0
TXN100173,USR2610,2023-01-01 02:53:00,12.84,groceries,M0132,iPhone,Andersonmouth,0,0,0,0.47,Subscription,web,0
TXN100174,USR8976,2023-01-01 02:54:00,51.81,utilities,M0041,iPad,Lake Steve,0,0,0,0.47,Apple Pay,NFC,0
TXN100175,USR9765,2023-01-01 02:55:00,9.58,travel,M0099,iPad,South Katherinemouth,0,0,0,0.67,Apple Pay,QR scan,0
TXN100176,USR8607,2023-01-01 02:56:00,58.71,gaming,M0055,iPad,Grahamberg,0,0,1,0.01,Wallet Transfer,QR scan,0
TXN100177,USR2762,2023-01-01 02:57:00,24.45,luxury,M0028,iPad,Randallhaven,0,0,0,0.0,Subscription,web,0
TXN100178,USR1941,2023-01-01 02:58:00,138.02,travel,M0101,iPhone,Nicholasmouth,1,1,0,0.38,Apple Pay,web,0
TXN100179,USR3100,2023-01-01 02:59:00,7.4,groceries,M0047,Mac,Emmabury,0,1,0,0.43,Apple Pay,in-app,0
TXN100180,USR2359,2023-01-01 03:00:00,20.86,electronics,M0137,iPhone,Staceyberg,0,0,0,0.64,Subscription,QR scan,0
TXN100181,USR7126,2023-01-01 03:01:00,6.02,utilities,M0130,iPad,Newmanstad,1,0,0,0.4,Apple Pay,NFC,0
TXN100182,USR5976,2023-01-01 03:02:00,129.31,travel,M0195,Mac,Stevensburgh,0,0,0,0.73,Apple Pay,QR scan,0
TXN100183,USR3633,2023-01-01 03:03:00,104.92,gaming,M0117,Watch,East Joshua,1,1,0,0.53,Peer-to-Peer,in-app,0
TXN100184,USR1973,2023-01-01 03:04:00,14.92,utilities,M0108,iPhone,North Larry,0,0,0,0.34,Apple Pay,web,0
TXN100185,USR6553,2023-01-01 03:05:00,53.94,groceries,M0176,Watch,Stephaniemouth,0,0,0,0.75,Apple Pay,NFC,0
TXN100186,USR7057,2023-01-01 03:06:00,84.97,utilities,M0069,iPad,East Jacob,0,1,0,0.56,Peer-to-Peer,in-app,0
TXN100187,USR1029,2023-01-01 03:07:00,40.51,utilities,M0028,Watch,Emilychester,0,1,0,0.24,Subscription,web,0
TXN100188,USR9686,2023-01-01 03:08:00,37.71,electronics,M0079,Mac,South Katiemouth,1,1,0,0.65,Apple Pay,NFC,0
TXN100189,USR7418,2023-01-01 03:09:00,13.84,luxury,M0014,Mac,West Cherylview,0,1,0,0.65,Peer-to-Peer,in-app,0
TXN100190,USR5984,2023-01-01 03:10:00,4.89,groceries,M0046,Mac,North Johnmouth,0,1,0,0.24,Wallet Transfer,web,0
TXN100191,USR2304,2023-01-01 03:11:00,113.76,electronics,M0141,iPhone,New Dominic,0,1,0,0.52,Subscription,QR scan,0
TXN100192,USR8545,2023-01-01 03:12:00,115.34,luxury,M0016,Watch,Williamstown,0,0,0,0.62,Apple Pay,web,0
TXN100193,USR4451,2023-01-01 03:13:00,50.13,electronics,M0168,Watch,West Ericaborough,0,1,0,0.17,Peer-to-Peer,web,0
TXN100194,USR9031,2023-01-01 03:14:00,20.7,luxury,M0200,Watch,Michaelside,0,1,0,0.71,Wallet Transfer,in-app,0
